age,income,response
39,<=5K,
5,<=5K,1
38,<=5K,
53,<=5K,1
8,<=5K,1
37,<=5K,1
49,<=5K,1
5,>5K,1
31,>5K,
4,>5K,1
37,>5K,1
3,>5K,1
3,<=5K,
3,<=5K,
4,>5K,1
34,<=5K,1
5,<=5K,
3,<=5K,
38,<=5K,1
43,>5K,
4,>5K,1
54,<=5K,1
35,<=5K,1
43,<=5K,1
59,<=5K,
56,>5K,1
19,<=5K,
54,>5K,1
39,<=5K,
49,<=5K,1
3,<=5K,
,<=5K,
45,<=5K,
3,<=5K,1
,<=5K,1
48,<=5K,
1,<=5K,
19,<=5K,1
31,>5K,1
48,<=5K,1
31,<=5K,1
53,<=5K,1
4,<=5K,1
49,<=5K,1
5,<=5K,
57,>5K,1
53,<=5K,1
44,<=5K,
41,<=5K,1
9,<=5K,
5,<=5K,1
18,<=5K,
47,>5K,1
5,>5K,
47,<=5K,
43,>5K,1
46,<=5K,1
35,<=5K,1
41,<=5K,1
3,<=5K,1
3,<=5K,1
3,<=5K,1
48,<=5K,1
4,>5K,1
9,<=5K,
36,<=5K,1
8,<=5K,
53,>5K,1
49,>5K,1
5,<=5K,
19,<=5K,
31,<=5K,1
9,>5K,1
3,<=5K,
79,<=5K,1
7,<=5K,
4,<=5K,1
67,<=5K,1
18,<=5K,
31,<=5K,1
18,<=5K,
5,<=5K,1
46,<=5K,1
59,<=5K,1
44,>5K,
53,<=5K,
49,>5K,1
33,<=5K,1
3,<=5K,
43,>5K,
57,<=5K,1
37,<=5K,
8,<=5K,
3,<=5K,1
34,>5K,1
9,<=5K,
48,>5K,1
37,>5K,1
48,<=5K,
3,<=5K,
76,>5K,1
44,>5K,1
47,<=5K,
,<=5K,
9,<=5K,
3,>5K,1
17,<=5K,
3,<=5K,
31,<=5K,
4,<=5K,1
4,<=5K,
38,>5K,1
56,>5K,1
8,<=5K,1
36,<=5K,
53,<=5K,1
56,<=5K,1
49,>5K,1
55,<=5K,1
,<=5K,
1,<=5K,
4,<=5K,1
3,<=5K,
9,>5K,1
19,<=5K,
47,>5K,1
,<=5K,
31,>5K,1
35,<=5K,1
39,<=5K,
8,<=5K,
